Tienda	Código de Artículo		Descripción		Precio		Fecha	Exsitencia Actual		Puede Surtir	Nro.de Dctos.  Puede Surtir	NO Surtir	Nro.de Dctos.  NO Surtir		Existencia Aereo		
006	1003053		ACEITE MULTIGRADO		617,24		13-09-2018	11,00		11,00	1	0,00	0				
006	1003242		0.44L FORMULA MARINA		188,79		06-09-2018	6,00		6,00	1	0,00	0				
006	1003243		0.44L LIMPIA MOTOR		158,62		06-09-2018	4,00		4,00	1	0,00	0				
006	1003244		0.44L CARBURADOR		219,83		06-09-2018	4,00		4,00	1	0,00	0				
006	1003245		0.42L VS 50 MECANICO		198,28		06-09-2018	5,00		5,00	1	0,00	0				
006	1003246		0.26L 4X4 LUBRICANTE		158,62		06-09-2018	6,00		6,00	1	0,00	0				
006	1003248		120CC 4X4 LUBRICANTE		85,11		06-09-2018	6,00		6,00	1	0,00	0				
006	1003276		500 CC FORMULA MAR		128,45		06-09-2018	6,00		6,00	1	0,00	0				
006	1003277		500 CC LIMPIA MOTOR		141,38		06-09-2018	6,00		6,00	1	0,00	0				
006	1003344		ACEITE SEMI 10W30		663,79		13-09-2018	22,00		22,00	1	0,00	0				
006	1003346		FILTRO ACEITE 51348		279,31		08-09-2018	13,00		13,00	2	0,00	0		12,00		
006	1003347		FILTRO ACEITE 59006		195,69		06-09-2018	12,00		12,00	1	0,00	0				
006	1003348		FILTRO ACEITE 951003		263,79		06-09-2018	6,00		6,00	1	0,00	0				
006	1003349		FILTRO ACEITE 51516		230,17		13-09-2018	9,00		9,00	1	0,00	0				
006	1003354		FILTRO ACEITE 51356		241,38		13-09-2018	1,00		1,00	1	0,00	0				
006	1003355		FILTRO ACEITE 51372		209,48		06-09-2018	10,00		10,00	1	0,00	0				
006	1003356		FILTRO ACEITE 951008		173,28		06-09-2018	5,00		5,00	1	0,00	0				
006	1003381		DIESEL CI-4 15W40		7.875,00		04-09-2018	1,00		1,00	1	0,00	0				
006	1003388		SUPREME 15/40 1LT		557,76		19-09-2018	96,00		96,00	1	0,00	0				
006	1003389		PLUS 20/50 1LT		569,83		19-09-2018	168,00		168,00	1	0,00	0				
006	1003390		PLUS 20/50 4LT		2.087,93		19-09-2018	8,00		8,00	1	0,00	0				
006	1003391		SUPREME 4LT		2.032,76		19-09-2018	8,00		8,00	1	0,00	0				
006	1006353		SET PAÑOS MICRO		584,82		22-08-2018	25,00		25,00	1	0,00	0				
006	1006373		LIMPIADOR RESIDUOS		40,16		30-06-2018	1,00		1,00	1	0,00	0				
006	1006374		ESPATULA CON PANO		75,11		03-07-2018	26,00		2,00	1	24,00	1		24,00		
006	1006585		1L EMULSION SILICONA		219,83		06-09-2018	6,00		6,00	1	0,00	0				
006	1006588		1L SHAMPOO AUTOS		166,38		06-09-2018	5,00		5,00	1	0,00	0				
006	1006593		0.44L LIMPIA CAUCHOS		231,03		06-09-2018	5,00		5,00	1	0,00	0				
006	1006594		0.44 NUTRIENTE CUERO		226,72		06-09-2018	6,00		6,00	1	0,00	0				
006	1006595		0.42L SILICON		207,76		06-09-2018	5,00		5,00	1	0,00	0				
006	1006596		0.44L LIMPIA TAPIZ		187,07		06-09-2018	4,00		4,00	1	0,00	0				
006	1006597		120CC NUTRE CUERO		179,31		06-09-2018	6,00		6,00	1	0,00	0				
006	1006598		120CC LIMPIA VIDRIOS		106,90		06-09-2018	6,00		6,00	1	0,00	0				
006	1006605		GUANTE PARA PULIR		71,03		03-07-2018	36,00		12,00	1	24,00	1		24,00		
006	1006607		CEPILLO PARA AUTOS		54,88		22-09-2018	12,00		0,00	0	12,00	1		12,00		
006	1006610		500 CC DESENGRASANTE		179,31		06-09-2018	6,00		6,00	1	0,00	0				
006	1006611		500 CC LIMPIA CAUCHO		261,21		06-09-2018	6,00		6,00	1	0,00	0				
006	1006612		500 CC LIMPIA VIDRIO		183,62		21-09-2018	6,00		6,00	1	0,00	0				
006	1006614		360 CC AROMA NATURAL		171,55		06-09-2018	6,00		6,00	1	0,00	0				
006	1006615		360 CC AROMA FRESH		188,79		06-09-2018	6,00		6,00	1	0,00	0				
006	1006616		360 CC AROMA LIMON		188,79		06-09-2018	6,00		6,00	1	0,00	0				
006	1006617		360 CC AROMA PINA		188,79		06-09-2018	6,00		6,00	1	0,00	0				
006	1006618		120 CC AROMA NATURAL		100,87		06-09-2018	6,00		6,00	1	0,00	0				
006	1006619		120 CC AROMA FRESH		112,93		06-09-2018	6,00		6,00	1	0,00	0				
006	1006620		120 CC AROMA LIMON		112,93		06-09-2018	6,00		6,00	1	0,00	0				
006	1006621		120 CC AROMA PINA		112,93		06-09-2018	6,00		6,00	1	0,00	0				
006	1006622		500 CC NUTRIENTE		187,07		06-09-2018	5,00		5,00	1	0,00	0				
006	1006674		LIMPIAPARABRISAS 18		509,82		22-08-2018	45,00		45,00	1	0,00	0		35,00		
006	1006675		LIMPIAPARABRISAS 19		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1006676		LIMPIAPARABRISAS 20		509,82		22-08-2018	46,00		46,00	1	0,00	0		36,00		
006	1006680		CHAMPU CON CERA		202,59		06-09-2018	6,00		6,00	1	0,00	0				
006	1006681		NERO ABRILLNTADOR 1L		173,28		06-09-2018	6,00		6,00	1	0,00	0				
006	1006682		ABRILLANTADOR CAUCHO		177,59		06-09-2018	6,00		6,00	1	0,00	0				
006	1006683		LUSTRADOR DE RINES		146,55		06-09-2018	6,00		6,00	1	0,00	0				
006	1006684		CHAMPU CON CERA 440		155,17		06-09-2018	6,00		6,00	1	0,00	0				
006	1006685		ABRILLANTADOR 360		160,34		06-09-2018	6,00		6,00	1	0,00	0				
006	1006686		LUSTRADOR RINES		179,31		06-09-2018	6,00		6,00	1	0,00	0				
006	1006687		DESENGRASANTE CADENA		83,53		06-09-2018	6,00		6,00	1	0,00	0				
006	1006688		LIMPIA MOTOR		80,38		06-09-2018	6,00		6,00	1	0,00	0				
006	1006689		LIMPIA CARBURADOR		141,38		06-09-2018	6,00		6,00	1	0,00	0				
006	1006728		CUERO EXTRA GRANDE		472,32		14-09-2018	21,00		21,00	1	0,00	0				
006	1006730		LIMPIA PARABRISAS 22		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1006732		LIMPIA PARABRISAS 24		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1006748		LIMPIADOR DE VIDRIOS		139,66		13-09-2018	18,00		18,00	1	0,00	0				
006	1006755		ESPONJA GIGANTE		47,11		03-07-2018	49,00		13,00	1	36,00	1		36,00		
006	1006758		PROTECTOR DE VINIL		212,93		13-09-2018	12,00		12,00	1	0,00	0				
006	1006763		ESPONJA MICRO FIBRA		453,57		14-09-2018	24,00		24,00	1	0,00	0		12,00		
006	1009225		PROTECTOR BATE TOYO		1.701,72		08-09-2018	1,00		1,00	1	0,00	0				
006	1009230		LIMPIA PARABRISAS 12		276,79		22-08-2018	47,00		47,00	1	0,00	0		37,00		
006	1009231		LIMPIA PARABRISAS 14		276,79		22-08-2018	45,00		45,00	1	0,00	0		35,00		
006	1009232		LIMPIA PARABRISAS 16		276,79		22-08-2018	46,00		46,00	1	0,00	0		37,00		
006	1009233		LIMPIA PARABRISAS 17		276,79		22-08-2018	44,00		44,00	1	0,00	0		35,00		
006	1009234		LIMPIA PARABRISAS 19		276,79		22-08-2018	43,00		43,00	1	0,00	0		33,00		
006	1009235		LIMPIA PARABRISAS 24		276,79		22-08-2018	45,00		45,00	1	0,00	0		35,00		
006	1009236		LIMPIA PARABRISAS 16		457,14		22-08-2018	47,00		47,00	1	0,00	0		37,00		
006	1009237		LIMPIA PARABRISAS 18		457,14		22-08-2018	46,00		46,00	1	0,00	0		36,00		
006	1009238		LIMPIA PARABRISAS 20		457,14		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009239		LIMPIA PARABRISAS 22		457,14		22-08-2018	46,00		46,00	1	0,00	0		36,00		
006	1009240		LIMPIA PARABRISAS 14		457,14		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009242		LIMPIA PARABRISAS 18		457,14		22-08-2018	47,00		47,00	1	0,00	0		40,00		
006	1009244		LIMPIA PARABRISAS 20		457,14		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009245		LIMPIA PARABRISAS 21		457,14		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009246		LIMPIA PARABRISAS 24		457,14		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009248		LIMPIA PARABRISAS 12		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009249		LIMPIA PARABRISAS 14		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009250		LIMPIA PARABRISAS 17		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1009251		TAPASOL BURBUJA JUMB		209,06		22-09-2018	100,00		0,00	0	100,00	1		100,00		
006	1009920		CEP LIMP 16"IND OPT		509,82		22-08-2018	48,00		48,00	1	0,00	0		38,00		
006	1011070		CUBRE MOTO M		923,06		03-07-2018	7,00		7,00	1	0,00	0				
006	1011154		ALFOMBRA PVC VARIAS		346,56		03-07-2018	1,00		1,00	1	0,00	0				
006	1011155		ALFOMBRA PVC 4 PZAS		393,81		03-07-2018	16,00		16,00	1	0,00	0				
006	1011156		ALFOMBRA PREMIER PVC		844,64		22-08-2018	62,00		62,00	1	0,00	0				
006	1011160		ALFOMBRA BANDEJA		1.860,71		24-08-2018	32,00		32,00	1	0,00	0				
006	1011163		COBERTOR 1,5 X 2 IMP		314,28		14-09-2018	6,00		6,00	1	0,00	0				
006	1011166		ESTERILLA BOLITA MAD		314,28		04-09-2018	35,00		35,00	1	0,00	0		12,00		
006	1011186		CUBRE ASIENTO PREMIE		945,53		14-09-2018	22,00		22,00	1	0,00	0		6,00		
006	1011187		ALFOMBRA LINE PVC		764,56		03-07-2018	15,00		15,00	1	0,00	0				
006	1011188		ALFOMBRA PLATINUM		1.038,06		03-07-2018	6,00		6,00	1	0,00	0				
006	1011902		COBERTOR VOLANTE		401,56		03-07-2018	21,00		21,00	1	0,00	0		2,00		
006	1011950		PROTECTOR CINTURON		89,08		07-07-2018	7,00		7,00	1	0,00	0				
006	1021010		CONO BARRICADA		2.402,68		22-08-2018	12,00		12,00	1	0,00	0				
006	1021041		TRIANGULO DE SEGURID		94,06		29-06-2018	13,00		1,00	1	12,00	1				
006	1024001		GATO BOTELLA  2 TON		2.159,82		22-08-2018	12,00		12,00	1	0,00	0				
006	1024006		GATO BOTELLA 4 TON		2.607,14		22-08-2018	11,00		11,00	1	0,00	0				
006	1024017		ZUNCHO GRANDE		100,31		07-07-2018	6,00		6,00	1	0,00	0				
006	1024025		LLAVE CRUZ PLEGABLE		2.010,72		14-09-2018	12,00		12,00	1	0,00	0				
006	1024032		GATO 6 TON		3.633,03		14-09-2018	12,00		12,00	1	0,00	0				
006	1024040		BOMBA MULTIUSO		542,86		04-09-2018	22,00		22,00	1	0,00	0				
006	1024041		BOMBA E INFLADOR		552,68		05-09-2018	23,00		23,00	1	0,00	0				
006	1024081		GATO BOTELLA 8 TON		4.373,22		14-09-2018	12,00		12,00	1	0,00	0				
006	1024082		GATO TIJERA		2.367,86		22-08-2018	10,00		10,00	1	0,00	0				
006	1024083		COMPRESOR DE AIRE		1.289,29		26-08-2018	9,00		9,00	1	0,00	0				
006	1024315		LLAVE DE CRUZ 20"		1.691,97		14-09-2018	7,00		7,00	1	0,00	0				
006	1024654		ASPIRAD 12V HERCULES		555,56		04-07-2018	2,00		2,00	1	0,00	0		2,00		
006	1027017		CABLE AUXILIAR 400A		2.514,28		14-09-2018	16,00		16,00	1	0,00	0				
006	1027030		LAMPARA P/TRABAJO		388,31		03-07-2018	29,00		5,00	1	24,00	1				
006	1027310		CABLE AUXILIAR500A		2.936,60		15-09-2018	14,00		14,00	1	0,00	0				
006	1207043		MACHETE LINIERO 20 N		532,31		16-08-2018	1,00		1,00	1	0,00	0				
006	1212007		16" TAPA PANAL		421,55		04-09-2018	20,00		20,00	1	0,00	0				
006	1212033		14" TAPA PANAL NEGRA		260,34		04-09-2018	12,00		12,00	1	0,00	0				
006	1212051		12" CAJA NEGRA		200,86		04-09-2018	16,00		16,00	1	0,00	0				
